model_name,time_total_train,time_epoch,time_predict,time_system,explained_variance_error,mean_absolute_error,mean_squared_error,mean_squared_log_error,r2_error,root_mean_squared_error,mean_absolute_percentage_error,symmetric_mean_absolute_percentage_error,explained_variance_error_denor,mean_absolute_error_denor,mean_squared_error_denor,mean_squared_log_error_denor,r2_error_denor,root_mean_squared_error_denor,mean_absolute_percentage_error_denor,symmetric_mean_absolute_percentage_error_denor
"ELM-sliding_2-net_para_{'hidden_size': 12, 'activation': 0}",0.0127,,0.00206852,0.016,0.9914,0.0067,0.0003,0.0001,0.9914,0.0168,4.3457,4.3229,0.9914,7.1808,326.212,0.003,0.9914,18.0613,4.0512,4.0313
"ELM-sliding_5-net_para_{'hidden_size': 12, 'activation': 0}",0.015,,0.00205326,0.0191,0.9915,0.0068,0.0003,0.0001,0.9914,0.0168,4.4251,4.4033,0.9915,7.2847,323.7969,0.0031,0.9914,17.9944,4.125,4.106
"ELM-sliding_10-net_para_{'hidden_size': 12, 'activation': 0}",0.0219,,0.00222111,0.0276,0.9915,0.0068,0.0003,0.0001,0.9915,0.0167,4.4172,4.3955,0.9915,7.261,323.3061,0.0031,0.9915,17.9807,4.1175,4.0985
"PSO_ELM-sliding_2-nets_[100, 0, 12, (0.6, 0.4)]-pso_{'epoch': 100, 'pop_size': 50, 'c_minmax': (1.2, 1.2), 'w_minmax': (0.4, 0.9)}",61.118,0.6112,0.001488,61.1207,0.9403,0.0136,0.0024,0.0008,0.9385,0.0489,4.8777,5.0614,0.9403,14.5804,2758.5846,0.0071,0.9385,52.5222,4.5939,4.774
"GA_ELM-sliding_2-nets_[100, 0, 12, (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 50, 'pc': 0.95, 'pm': 0.025}",61.4849,0.6148,0.001974,61.4882,0.9593,0.0119,0.0016,0.0006,0.9576,0.0406,4.6105,4.7367,0.9593,12.7292,1899.8665,0.0054,0.9576,43.5875,4.3347,4.459
"PSO_ELM-sliding_5-nets_[100, 0, 12, (0.6, 0.4)]-pso_{'epoch': 100, 'pop_size': 50, 'c_minmax': (1.2, 1.2), 'w_minmax': (0.4, 0.9)}",61.0714,0.6107,0.002044,61.0748,0.8187,0.0195,0.0072,0.0017,0.8137,0.0851,6.061,5.6581,0.8187,20.9671,8354.9241,0.009,0.8137,91.4053,5.7282,5.3298
"GA_ELM-sliding_5-nets_[100, 0, 12, (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 50, 'pc': 0.95, 'pm': 0.025}",62.3029,0.623,0.001292,62.3056,0.9894,0.0078,0.0004,0.0002,0.9893,0.0204,4.5299,4.5379,0.9894,8.3407,479.0531,0.0036,0.9893,21.8873,4.2175,4.2246
"WOA_ELM-sliding_2-nets_[100, 0, 12, (0.6, 0.4)]-whale_{'epoch': 100, 'pop_size': 50}",61.5372,0.6154,0.001309,61.5408,0.9716,0.0104,0.0012,0.0004,0.9703,0.034,4.4849,4.5776,0.9716,11.2157,1331.3809,0.0042,0.9703,36.4881,4.2021,4.2895
"PSO_ELM-sliding_10-nets_[100, 0, 12, (0.6, 0.4)]-pso_{'epoch': 100, 'pop_size': 50, 'c_minmax': (1.2, 1.2), 'w_minmax': (0.4, 0.9)}",60.6871,0.6069,0.002331,60.6948,0.9906,0.0082,0.0004,0.0002,0.9903,0.0194,4.9011,4.9297,0.9906,8.7692,433.1362,0.0046,0.9903,20.8119,4.5583,4.5858
"GA_ELM-sliding_10-nets_[100, 0, 12, (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 50, 'pc': 0.95, 'pm': 0.025}",62.3243,0.6232,0.00325,62.3309,0.9903,0.0081,0.0004,0.0002,0.9899,0.0198,4.6634,4.6654,0.9903,8.7225,451.0392,0.0033,0.9899,21.2377,4.3345,4.3378
