timestamp,count_raw,count_thousand
1998-05-30 21:50:00,12253,12.253
1998-05-30 21:55:00,11737,11.737
1998-05-30 22:00:00,11221,11.221
1998-05-30 22:05:00,11639,11.639
1998-05-30 22:10:00,11199,11.199
1998-05-30 22:15:00,11626,11.626
1998-05-30 22:20:00,11340,11.34
1998-05-30 22:25:00,11945,11.945
1998-05-30 22:30:00,10310,10.31
1998-05-30 22:35:00,10543,10.543
1998-05-30 22:40:00,10496,10.496
1998-05-30 22:45:00,11542,11.542
1998-05-30 22:50:00,11632,11.632
1998-05-30 22:55:00,10391,10.391
1998-05-30 23:00:00,10366,10.366
1998-05-30 23:05:00,10310,10.31
1998-05-30 23:10:00,10334,10.334
1998-05-30 23:15:00,10385,10.385
1998-05-30 23:20:00,8893,8.893
1998-05-30 23:25:00,10346,10.346
1998-05-30 23:30:00,9511,9.511
1998-05-30 23:35:00,9151,9.151
1998-05-30 23:40:00,9984,9.984
1998-05-30 23:45:00,9289,9.289
1998-05-30 23:50:00,9915,9.915
1998-05-30 23:55:00,9813,9.813
1998-05-31 00:00:00,9131,9.131
1998-05-31 00:05:00,8912,8.912
1998-05-31 00:10:00,9427,9.427
1998-05-31 00:15:00,9963,9.963
1998-05-31 00:20:00,9872,9.872
1998-05-31 00:25:00,9610,9.61
1998-05-31 00:30:00,9565,9.565
1998-05-31 00:35:00,8861,8.861
1998-05-31 00:40:00,9369,9.369
1998-05-31 00:45:00,9089,9.089
1998-05-31 00:50:00,9864,9.864
1998-05-31 00:55:00,9033,9.033
1998-05-31 01:00:00,9249,9.249
1998-05-31 01:05:00,9902,9.902
1998-05-31 01:10:00,9526,9.526
1998-05-31 01:15:00,9062,9.062
1998-05-31 01:20:00,9864,9.864
1998-05-31 01:25:00,10671,10.671
1998-05-31 01:30:00,10024,10.024
1998-05-31 01:35:00,8608,8.608
1998-05-31 01:40:00,9857,9.857
1998-05-31 01:45:00,8626,8.626
1998-05-31 01:50:00,8891,8.891
1998-05-31 01:55:00,8153,8.153
1998-05-31 02:00:00,9980,9.98
1998-05-31 02:05:00,9254,9.254
1998-05-31 02:10:00,9425,9.425
1998-05-31 02:15:00,8790,8.79
1998-05-31 02:20:00,9785,9.785
1998-05-31 02:25:00,11119,11.119
1998-05-31 02:30:00,10181,10.181
1998-05-31 02:35:00,10426,10.426
1998-05-31 02:40:00,10254,10.254
1998-05-31 02:45:00,10472,10.472
1998-05-31 02:50:00,10890,10.89
1998-05-31 02:55:00,9857,9.857
1998-05-31 03:00:00,8749,8.749
1998-05-31 03:05:00,8910,8.91
1998-05-31 03:10:00,9916,9.916
1998-05-31 03:15:00,9427,9.427
1998-05-31 03:20:00,9174,9.174
1998-05-31 03:25:00,9986,9.986
1998-05-31 03:30:00,10057,10.057
1998-05-31 03:35:00,10049,10.049
1998-05-31 03:40:00,9876,9.876
1998-05-31 03:45:00,8368,8.368
1998-05-31 03:50:00,10153,10.153
1998-05-31 03:55:00,8889,8.889
1998-05-31 04:00:00,8987,8.987
1998-05-31 04:05:00,8261,8.261
1998-05-31 04:10:00,8835,8.835
1998-05-31 04:15:00,9566,9.566
1998-05-31 04:20:00,9918,9.918
1998-05-31 04:25:00,8438,8.438
1998-05-31 04:30:00,8655,8.655
1998-05-31 04:35:00,8468,8.468
1998-05-31 04:40:00,8238,8.238
1998-05-31 04:45:00,9069,9.069
1998-05-31 04:50:00,8890,8.89
1998-05-31 04:55:00,8391,8.391
1998-05-31 05:00:00,7787,7.787
1998-05-31 05:05:00,8237,8.237
1998-05-31 05:10:00,8325,8.325
1998-05-31 05:15:00,8273,8.273
1998-05-31 05:20:00,8603,8.603
1998-05-31 05:25:00,6980,6.98
1998-05-31 05:30:00,7518,7.518
1998-05-31 05:35:00,7743,7.743
1998-05-31 05:40:00,8007,8.007
1998-05-31 05:45:00,8129,8.129
1998-05-31 05:50:00,7066,7.066
1998-05-31 05:55:00,8007,8.007
1998-05-31 06:00:00,7728,7.728
1998-05-31 06:05:00,7592,7.592
1998-05-31 06:10:00,6978,6.978
1998-05-31 06:15:00,6402,6.402
1998-05-31 06:20:00,6679,6.679
1998-05-31 06:25:00,6190,6.19
1998-05-31 06:30:00,6618,6.618
1998-05-31 06:35:00,7001,7.001
1998-05-31 06:40:00,8135,8.135
1998-05-31 06:45:00,7535,7.535
1998-05-31 06:50:00,6882,6.882
1998-05-31 06:55:00,7387,7.387
1998-05-31 07:00:00,7288,7.288
1998-05-31 07:05:00,5809,5.809
1998-05-31 07:10:00,5974,5.974
1998-05-31 07:15:00,5837,5.837
1998-05-31 07:20:00,7276,7.276
1998-05-31 07:25:00,7467,7.467
1998-05-31 07:30:00,6420,6.42
1998-05-31 07:35:00,8213,8.213
1998-05-31 07:40:00,8207,8.207
1998-05-31 07:45:00,8437,8.437
