time_count,traffic (in bits),traffic (in Byte),traffic (in Kilobyte),traffic (in Megabyte)
2005-06-07 07:00:00,3562279127,445284890.875,434848.526245117,424.656763911247
2005-06-07 07:05:00,3710215571,463776946.375,452907.174194336,442.292162299156
2005-06-07 07:10:00,3877469703,484683712.875,473323.938354492,462.230408549309
2005-06-07 07:15:00,3876354871,484544358.875,473187.850463867,462.09751021862
2005-06-07 07:20:00,4582542581,572817822.625,559392.404907227,546.281645417214
2005-06-07 07:25:00,5016336869,627042108.625,612345.809204102,597.993954300881
2005-06-07 07:30:00,5202513642,650314205.25,635072.466064453,620.187955141068
2005-06-07 07:35:00,5410604985,676325623.125,660474.241333008,644.994376301765
2005-06-07 07:40:00,5408071320,676008915,660164.956054688,644.692339897156
2005-06-07 07:45:00,5598048880,699756110,683355.576171875,667.339429855347
2005-06-07 07:50:00,5268183974,658522996.75,643088.864013672,628.016468763351
2005-06-07 07:55:00,5205965910,650745738.75,635493.885498047,620.599497556686
2005-06-07 08:00:00,5554284558,694285569.75,678013.251708984,662.122316122055
2005-06-07 08:05:00,6071804752,758975594,741187.103515625,723.815530776978
2005-06-07 08:10:00,6533409311,816676163.875,797535.31628418,778.843082308769
2005-06-07 08:15:00,6432612096,804076512,785230.96875,766.827117919922
2005-06-07 08:20:00,6422634291,802829286.375,784012.974975586,765.637670874596
2005-06-07 08:25:00,6413343245,801667905.625,782878.814086914,764.530091881752
2005-06-07 08:30:00,6438472853,804809106.625,785946.393188477,767.525774598122
2005-06-07 08:35:00,6593321117,824165139.625,804848.769165039,785.985126137734
2005-06-07 08:40:00,6386798311,798349788.875,779638.465698242,761.36568915844
2005-06-07 08:45:00,6402829429,800353678.625,781595.389282227,763.276747345924
2005-06-07 08:50:00,6448640206,806080025.75,787187.525146484,768.737817525864
2005-06-07 08:55:00,6758012799,844751599.875,824952.73425293,805.617904543877
2005-06-07 09:00:00,6897537181,862192147.625,841984.519165039,822.250506997109
2005-06-07 09:05:00,6625683956,828210494.5,808799.311035156,789.84307718277
2005-06-07 09:10:00,6786593033,848324129.125,828441.532348633,809.024933934212
2005-06-07 09:15:00,6741090851,842636356.375,822887.066772461,803.600651144981
2005-06-07 09:20:00,6857892154,857236519.25,837145.038330078,817.524451494217
2005-06-07 09:25:00,6885633911,860704238.875,840531.483276367,820.831526637077
2005-06-07 09:30:00,7036186201,879523275.125,858909.448364258,838.778758168221
2005-06-07 09:35:00,7182820092,897852511.5,876809.093261719,856.258880138397
2005-06-07 09:40:00,6897783063,862222882.875,842014.534057617,822.279818415642
2005-06-07 09:45:00,6802926206,850365775.75,830435.327880859,810.971999883652
2005-06-07 09:50:00,6856304069,857038008.625,836951.180297852,817.335137009621
2005-06-07 09:55:00,6963587768,870448471,850047.334960938,830.124350547791
2005-06-07 10:00:00,7283565230,910445653.75,889107.083740234,868.268636465073
2005-06-07 10:05:00,7294355973,911794496.625,890424.313110352,869.554993271828
2005-06-07 10:10:00,7277773691,909721711.375,888400.108764649,867.578231215477
2005-06-07 10:15:00,7327652118,915956514.75,894488.783935547,873.524203062058
2005-06-07 10:20:00,7411935065,926491883.125,904777.229614258,883.571513295174
2005-06-07 10:25:00,7559621824,944952728,922805.3984375,901.177146911621
2005-06-07 10:30:00,7464144357,933018044.625,911150.434204102,889.795345902443
2005-06-07 10:35:00,7556335967,944541995.875,922404.29284668,900.785442233086
2005-06-07 10:40:00,7531158925,941394865.625,919330.923461914,897.784104943275
2005-06-07 10:45:00,7451588318,931448539.75,909617.714599609,888.298549413681
2005-06-07 10:50:00,7251552599,906444074.875,885199.291870117,864.452433466911
2005-06-07 10:55:00,7387311025,923413878.125,901771.365356445,880.636098980904
2005-06-07 11:00:00,7534902212,941862776.5,919787.867675781,898.23033952713
2005-06-07 11:05:00,7669462738,958682842.25,936213.713134766,914.27120423317
2005-06-07 11:10:00,7806347806,975793475.75,952923.316162109,930.58917593956
2005-06-07 11:15:00,7633844064,954230508,931865.73046875,910.025127410889
2005-06-07 11:20:00,7666925195,958365649.375,935903.954467774,913.968705534935
2005-06-07 11:25:00,7520164584,940020573,917988.840820313,896.473477363587
2005-06-07 11:30:00,7501747391,937718423.875,915740.64831543,894.277976870537
2005-06-07 11:35:00,7767857531,970982191.375,948224.796264648,926.000777602196
2005-06-07 11:40:00,7232609101,904076137.625,882886.853149414,862.194192528725
2005-06-07 11:45:00,7274338276,909292284.5,887980.746582031,867.168697834015
2005-06-07 11:50:00,7408981176,926122647,904416.647460937,883.219382286072
2005-06-07 11:55:00,7230742271,903842783.875,882658.96862793,861.971649050713
2005-06-07 12:00:00,7354167649,919270956.125,897725.54309082,876.685100674629
2005-06-07 12:05:00,7107897687,888487210.875,867663.291870117,847.327433466911
2005-06-07 12:10:00,7295721127,911965140.875,890590.957885742,869.717732310295
2005-06-07 12:15:00,7080999121,885124890.125,864379.775512695,844.120874524116
2005-06-07 12:20:00,7606453644,950806705.5,928522.173339844,906.759934902191
2005-06-07 12:25:00,7642015997,955251999.625,932863.280883789,910.999297738075
2005-06-07 12:30:00,7848884725,981110590.625,958115.811157227,935.659971833229
2005-06-07 12:35:00,7724196995,965524624.375,942895.140991211,920.796036124229
2005-06-07 12:40:00,7650962743,956370342.875,933955.412963867,912.065832972527
2005-06-07 12:45:00,7753904748,969238093.5,946521.575683594,924.33747625351
2005-06-07 12:50:00,7744009419,968001177.375,945313.649780274,923.157861113548
2005-06-07 12:55:00,7336903262,917112907.75,895618.073974609,874.62702536583
2005-06-07 13:00:00,7485654677,935706834.625,913776.205688477,892.359575867653
2005-06-07 13:05:00,7513611244,939201405.5,917188.872558594,895.692258358002
2005-06-07 13:10:00,7644185813,955523226.625,933128.151000977,911.257959961891
2005-06-07 13:15:00,7414962086,926870260.75,905146.739013672,883.932362318039
2005-06-07 13:20:00,7514644125,939330515.625,917314.956665039,895.815387368202
2005-06-07 13:25:00,7445178236,930647279.5,908835.233886719,887.534408092499
2005-06-07 13:30:00,7294385873,911798234.125,890427.963012695,869.558557629585
2005-06-07 13:35:00,7233354647,904169330.875,882977.862182617,862.283068537712
2005-06-07 13:40:00,7332941859,916617732.375,895134.504272461,874.154789328575
2005-06-07 13:45:00,7513492139,939186517.375,917174.333374024,895.67805993557
2005-06-07 13:50:00,7528727688,941090961,919034.141601563,897.494278907776
2005-06-07 13:55:00,8536272286,1067034035.75,1042025.42553711,1017.60295462608
2005-06-07 14:00:00,7724842582,965605322.75,942973.947998047,920.872996091843
2005-06-07 14:05:00,7599001549,949875193.625,927612.493774414,905.871575951576
2005-06-07 14:10:00,7348468015,918558501.875,897029.786987305,876.00565135479
2005-06-07 14:15:00,7326327200,915790900,894327.05078125,873.366260528564
2005-06-07 14:20:00,7639506670,954938333.75,932556.966552734,910.700162649155
2005-06-07 14:25:00,7802449354,975306169.25,952447.430908203,930.124444246292
2005-06-07 14:30:00,7485672218,935709027.25,913778.346923828,892.361666917801
2005-06-07 14:35:00,7354957743,919369717.875,897821.990112305,876.779287219048
2005-06-07 14:40:00,7497015314,937126914.25,915163.002197266,893.713869333267
2005-06-07 14:45:00,7235630142,904453767.75,883255.632568359,862.554328680039
2005-06-07 14:50:00,7434386233,929298279.125,907517.850708008,886.247901082039
2005-06-07 14:55:00,7519403839,939925479.875,917895.97644043,896.382789492607
2005-06-07 15:00:00,7403087775,925385971.875,903697.23815918,882.516834139824
2005-06-07 15:05:00,7366791574,920848946.75,899266.549560547,878.189989805222
2005-06-07 15:10:00,7577678754,947209844.25,925009.613525391,903.329700708389
2005-06-07 15:15:00,7326687210,915835901.25,894370.997314453,873.409177064896
2005-06-07 15:20:00,7259778835,907472354.375,886203.471069336,865.433077216148
2005-06-07 15:25:00,7499146875,937393359.375,915423.202514648,893.967971205711
2005-06-07 15:30:00,7530745790,941343223.75,919280.491943359,897.734855413437
2005-06-07 15:35:00,7054149566,881768695.75,861102.241943359,840.920158147812
2005-06-07 15:40:00,7134469847,891808730.875,870906.963745117,850.495081782341
2005-06-07 15:45:00,7081949563,885243695.375,864495.796264649,844.234176039696
2005-06-07 15:50:00,6953665837,869208229.625,848836.161743164,828.941564202309
2005-06-07 15:55:00,7023590624,877948828,857371.90234375,837.277248382568
2005-06-07 16:00:00,6759900139,844987517.375,825183.122436524,805.842893004417
2005-06-07 16:05:00,6530131152,816266394,797135.150390625,778.452295303345
2005-06-07 16:10:00,6447105457,805888182.125,787000.177856445,768.554861187935
2005-06-07 16:15:00,6330514608,791314326,772767.896484375,754.656148910522
2005-06-07 16:20:00,6331684427,791460553.375,772910.696655273,754.795602202416
2005-06-07 16:25:00,6223271197,777908899.625,759676.659790039,741.87173807621
2005-06-07 16:30:00,6202872405,775359050.625,757186.572875977,739.440012574196
2005-06-07 16:35:00,5914776765,739347095.625,722018.648071289,705.096336007118
2005-06-07 16:40:00,5917454777,739681847.125,722345.553833008,705.415579915047
2005-06-07 16:45:00,5921237644,740154705.5,722807.329589844,705.866532802582
2005-06-07 16:50:00,5640499083,705062385.375,688537.485717774,672.399888396263
2005-06-07 16:55:00,5391187185,673898398.125,658103.904418945,642.679594159126
2005-06-07 17:00:00,5349731374,668716421.75,653043.380615234,637.737676382065
2005-06-07 17:05:00,5306831763,663353970.375,647806.611694336,632.62364423275
2005-06-07 17:10:00,4924258813,615532351.625,601105.812133789,587.017394661903
2005-06-07 17:15:00,4870140499,608767562.375,594499.572631836,580.565988898277
2005-06-07 17:20:00,5051888264,631486033,616685.579101563,602.23201084137
2005-06-07 17:25:00,4936297774,617037221.75,602575.411865234,588.452550649643
2005-06-07 17:30:00,4670716971,583839621.375,570155.880249023,556.792851805687
2005-06-07 17:35:00,4336637893,542079736.625,529374.742797852,516.967522263527
2005-06-07 17:40:00,4315527574,539440946.75,526797.799560547,514.450976133347
2005-06-07 17:45:00,4234212594,529276574.25,516871.654541016,504.757475137711
2005-06-07 17:50:00,4403446516,550430814.5,537530.092285156,524.931730747223
2005-06-07 17:55:00,4295636203,536954525.375,524369.653686523,512.079739928246
